,0
1100,-190.71727268258178
1101,-131.57639897635616
1102,-44.03533952681715
1103,-70.83778636999398
1104,-159.96352832615344
1105,-76.1235620499099
1106,-53.855268156513134
1107,-65.21554162327314
1108,-90.21164717609467
1109,-78.09052424458812
1110,-117.41777713415863
1111,-275.16364231245177
1112,-420.00596849039135
1113,-1104.6563627018047
1114,-960.4888579695078
1115,-352.4537680250668
1116,-182.56180688724248
1117,-152.30630297569851
1118,-419.8900818110916
1119,-115.37739425540335
1120,-160.4092142962637
1121,-130.35427776878385
1122,-86.09093406526144
1123,-162.89145128995955
1124,-318.43089051264803
1125,-209.5787863443107
1126,-144.6644063835477
1127,-41.789209013838025
1128,-229.17964266416905
1129,-101.99363550084762
1130,-132.3129368163351
1131,-112.70598310736047
1132,-268.5772279293686
1133,-304.61884715400197
1134,-74.48217474000748
1135,-260.2524118047993
1136,-146.54190804455607
1137,-339.9016553177132
1138,-780.3993907564852
1139,-268.407674220775
1140,-200.8586304494604
1141,-118.70869391977038
1142,-128.10514943728674
1143,-70.39405221433702
1144,-177.05480901076163
1145,-124.84900592647364
1146,-339.2166746295329
1147,-354.14929336308955
1148,-61.41973768986269
1149,-42.666458373303165
1150,22.892596063070883
1151,-36.744968029514396
1152,-334.54488159121354
1153,-90.9623156230991
1154,-97.64689675786447
1155,-104.09638420964195
1156,-87.65224985083918
1157,-163.0733391895924
1158,-86.5154762266274
1159,-77.49708664281994
1160,-492.48900298639074
1161,-138.29464606472692
1162,-401.4314176633347
1163,-254.40824561037633
1164,-188.00750625367047
1165,-80.53092263069061
1166,-257.8906324395491
1167,-212.32110572395288
1168,-195.29667996196775
1169,-953.2363649090612
1170,-81.41828551562665
1171,-278.89752115755346
1172,-52.7473127742671
1173,-97.97776060827334
1174,-84.13235677481262
1175,-69.65834614868447
1176,-270.2186284737421
1177,-94.680038740195
1178,-98.18253608662764
1179,-237.09323652903828
1180,-124.41414209248137
1181,-217.08417099734785
1182,-321.084866103559
1183,-251.93276121395257
1184,-104.51405030040006
1185,-101.95379022996774
1186,-466.24153815930595
1187,-294.66802619881355
1188,-145.64533833644637
1189,-102.10552261806679
1190,-111.57103834600507
1191,-190.9412457242053
1192,-242.15858692215568
1193,-122.79040335937182
1194,-156.86618632129966
1195,-179.60754512616757
1196,-97.01896895728761
1197,-184.27952697638534
1198,-95.95057570247995
1199,-224.36319215973083
1200,-123.35326900835378
1201,-116.88327823540934
1202,-286.63223350677936
1203,-125.40641506217136
1204,-292.0730663364741
1205,-185.5521263696919
1206,-144.66803536435881
1207,-259.20479138252585
1208,-62.05651916922682
1209,-98.58163870130998
1210,-188.47272991193975
1211,-252.72117218642381
1212,-266.67180380583227
1213,-52.9086555076652
1214,-100.34365205605806
1215,-63.95577518266873
1216,-39.49817808076024
1217,-218.6263944028045
1218,-392.26595365505597
1219,-66.54504685147035
1220,-92.69823710875104
1221,-153.00522101764633
1222,-50.17716234792162
1223,-225.79963765841447
1224,-55.00767757527201
1225,-195.06927937308959
1226,-298.13065291489414
1227,-102.93529116627899
1228,-115.12152303730772
1229,-38.72132546948683
1230,-232.05180862229346
1231,-174.6671947648336
1232,-131.2633522910348
1233,-150.24346261580553
1234,-59.86831506186037
1235,-115.42067404571571
1236,-208.04716591157558
1237,-112.70080636518536
1238,-193.4211669309442
1239,-121.56760688275564
1240,-185.3407175494191
1241,-193.78823433962611
1242,-59.69494395816605
1243,-39.66966334439992
1244,-160.57117409140156
1245,-138.81637734896628
